01024B79	B0BB
01024B9B	DBD4
01024BD3	C9FA
01024BD4	C8CB
01024BDB	F3CF
01024BF3	AE64
01024BF7	C88F
01024C06	D3C3
01024C1E	B1B0
01024C34	CDFE
01024C35	CEB7
01024C36	C9EA
01024C65	EEB3
01024C71	D4D8
01024C95	88C0
01024C99	DBCE
01024C9C	B1CF
01024DC2	F0F2
01024DD0	C3A4
01024DE0	F0F6
01024E06	F0F4
01024E0B	BDEA
01024E1F	D6CC
01024E8A	CBBB
01024EE8	BBBE
01024EF2	C1C6
01024F29	B9EF
01024F2A	B5C7
01024F32	B06C
01024F35	B06C
01024F37	B5C7
01024F50	C6C8
01025022	FC8B
01025039	F5C2
01025044	D3DB
01025049	EEC2
0102506A	C3CF
01025070	C3CB
0102507A	E161
010250AF	DDCF
010250E9	D1DB
010250F3	EDEC
0102510C	B242
01025122	CFE0
0102516D	CAD3
01025171	CAA1
010251E1	B247
01025205	EC74
01025228	B24C
010252BC	EEAA
010252CD	CBAF
01025312	EEAD
0102531D	EEA9
0102533A	B287
0102536F	EFD4
0102537F	B6DC
01025384	C7B9
010253BF	D6AA
010253F5	C1F6
01025417	EDBE
0102543A	EDC6
0102544A	C4EB
010254CB	D1D0
010254CF	DCA4
010254D3	B1AE
01025510	BFC4
01025553	C4AE
0102555A	DCFD
01025566	EDDE
01025571	C5F0
01025574	C0F9
010255F7	D5B7
01025614	D4D6
01025616	CDB7
01025621	B56F
0102564A	BCC0
0102564D	C9F1
010256DC	D7E6
01025731	CBEE
01025750	B1FC
01025757	DCBB
01025762	C0FB
01025777	B8FB
010257AB	CAF2
0102583C	C7D8
01025877	CEC8
01025893	CADA
0102592F	BEBF
0102593E	C7CF
0102593F	B840
01025949	E1B6
01025963	D4AB
0102598E	B1F6
0102599C	DCA1
010259BD	8C81
010259CA	DCA5
010259E2	BF5E
010259E8	B1F6
01025A12	B4DC
01025A50	F1BC
01025A60	D5BE
01025A73	B4FD
01025AE1	F3C4
01025B16	C6A4
01025B30	B2E1
01025B8F	B5E4
01025BD2	D4D4
01025CE6	CBF1
01025D8E	DDCF
01025D9E	8BF9
01025DDF	DDCF
01025E4E	BB7B
01025E6A	F4D6
01025E9E	D6E0
01025EC6	CBDA
01025ED5	F4D6
01025F3E	F4D6
01025F86	BEC0
01025F91	B4BF
01025FA0	C8D2
01025FA1	D1A4
01025FA8	E6FC
01025FBA	D7DD
01025FC9	CDE0
01025FCC	D089
01025FD1	C2DA
01025FD3	BCCD
01025FF3	CFB8
01026007	BEAD
01026012	83DB
0102601F	C9B4
01026065	EDE9
010260B2	EDE9
010260B3	BDF4
010260B5	D7DD
010260B6	E7B2
010260C5	C2E7
010260E7	B1CC
010260F0	C9FE
01026132	CBF5
0102614D	E7D0
01026167	EDE9
01026196	E7D4
010261AB	B0F3
010261C4	C0DC
010261DA	D2CD
010261FB	BBBA
01026247	C6BF
010262B0	C15C
010262C0	C15C
010262DA	D5D6
010262E7	CAF0
01026304	C15C
01026310	EEBE
01026334	C2DE
01026336	C15C
0102633E	C15C
0102633F	F5A7
01026343	C15C
01026346	C15C
0102635B	C16B
0102638B	F5F4
010263A4	F7B7
010263C1	F4CB
010263E0	B8E1
010263F2	D3F0
0102641C	B4E4
0102642C	F4E2
0102644A	ECBA
01026474	CE97
0102648B	BAB2
010264A1	B0BF
010264A2	B0BF
010264B1	BFBC
010264BF	EAC8
010264D4	D0E8
01026515	88EE
0102657C	C1C4
010265F7	F1FA
0102661F	D5D8
0102663B	EBC1
0102665B	EBC6
01026669	EBC8
0102666D	CCDB
01026675	CDF3
01026676	B9C9
010266C1	C4D4
01026709	C6A2
01026721	D6CB
01026736	B0F2
01026769	CEB8
0102676B	D1FC
0102676D	C0E0
010267A4	D8B6
010267A7	C1F6
010267AC	EBEC
010267B5	BBA9
010267DD	BCB9
010267E6	C4A4
010267EF	C0DF
010267F3	F5B6
0102681D	C1F6
010268DE	D2C3
010268EE	B9C2
010268FA	B0D7
01026900	B3F4
01026903	BBCA
01026906	EB85
0102690C	F4DF
01026913	B1C7
01026933	D6C1
0102693F	CEDD
01026946	CED5
01026947	D5E9
01026951	84FB
01026959	D2B7
0102695D	D2A8
01026967	B1E1
0102699A	D2FA
010269B6	C8C0
010269CA	CBB1
01026A31	BDF2
01026A85	CDA7
01026ADC	DA56
01026B0A	DCBB
01026B21	DDCD
01026B3C	CB6E
01026B42	DDD1
01026B82	DDE9
01026B8F	B4CE
01026BBF	C881
01026BD3	DDCF
01026BED	C68F
01026BF1	C68F
01026BF8	DCBB
01026C52	DCD9
01026C54	B1CD
01026C64	C4AA
01026CAD	DDDD
01026CCB	C6EA
01026CCE	DDCF
01026CDD	CB54
01026CE4	CB91
01026CF2	C88D
01026CF3	DDE8
01026D2B	C94E
01026D2D	C3EA
01026D54	DDCF
01026D87	BF5E
01026D96	CC7B
01026D9C	C68F
01026DAC	C89A
01026DDB	82F5
01026DF2	C96A
01026E00	CB73
01026E06	DCBB
01026E0B	CA47
01026E0E	DDAA
01026E2D	C695
01026E2F	DDB7
01026E32	C5BA
01026E33	DDEA
01026E4A	C695
01026E88	DDA5
01026E92	C98B
01026E95	CC6C
01026E9D	CB66
01026EB3	DEB2
01026EC2	CB56
01026EC3	DDC8
01026EE5	B7C6
01026EE6	CCD1
01026F0D	DDB8
01026F2C	DDCF
01026F30	CB7E
01026F48	DDB5
01026F5D	C97A
01026F60	CA54
01026F67	DDAC
01026F69	C8E0
01026F77	C885
01026F94	BEC9
01026FAA	D9E7
01026FAF	C78A
01026FB1	B3AD
01026FB4	DEC0
01026FB7	DEA4
01026FC8	CC67
01026FD8	DDCF
01026FE0	C966
01026FE1	CB77
01026FE6	CC6E
01027009	D4E5
0102701B	CB8D
01027026	C99D
0102703D	DDCF
0102703E	CA83
0102704E	D9E7
01027055	C991
01027084	DDCC
01027087	DDA1
0102708A	DEAF
01027090	BBFD
01027099	CA93
0102709A	DDCF
010270B0	DDA3
010270B1	DEA7
010270B2	BED5
010270B3	CA73
010270C8	BED5
010270CD	D9E7
010270D3	BED5
010270DC	CB7D
010270F0	D9E7
01027116	CA45
01027117	DDCF
01027137	CC88
01027141	CB4B
01027149	CB95
0102714F	DEBC
0102715B	CB79
0102715C	CC43
0102715D	C998
01027188	CB84
0102718A	CC8B
01027191	DEBD
010271C1	F2AE
010271C3	CC9E
010271C7	CC91
010271D0	CCA0
010271D1	CC99
01027205	CC9F
0102720B	DDCB
01027220	D4E9
01027227	CBE4
0102722C	BAE7
01027265	B1B1
01027275	CD4C
01027286	CD6B
0102728D	CD58
01027296	CF64
0102729B	CD6D
010272A1	F2CB
010272A2	CD6C
010272A4	F2E6
010272A7	B8F2
010272AE	CD8B
010272B0	CD7E
010272D9	CF5A
01027312	F2E2
01027332	D6A9
01027337	CE88
0102733F	CE5A
01027353	F3B0
01027357	CF9A
01027358	F2CA
0102735B	D3BC
01027367	CE8B
01027371	CF48
0102737D	CE95
0102737F	F2D1
01027380	F2E1
01027381	F2BB
01027382	CFBA
01027397	F2F2
010273A9	CD45
010273C5	F3A7
010273CD	F2CF
010273CF	C7F9
010273D5	CE92
010273E9	CE9A
010273F8	CF44
01027400	D04C
01027404	CF4C
01027407	CF47
01027409	D6A9
0102741A	CF56
0102741B	F2F3
0102742E	CF4D
01027433	CF46
01027446	CE75
01027463	F2CD
01027468	CD89
01027494	CD8F
010274A6	D5DD
010274AA	CE65
010274BC	CF84
010274BE	CF7D
010274C9	F2D3
010274CC	D3A9
010274CE	CE93
010274D2	F2BE
010274DB	F3A8
010274F1	CE69
010274F3	F2CE
01027508	EEC3
01027518	CF8D
0102752B	CE50
01027549	CE89
0102754E	CF4A
01027550	F3A9
01027573	D9F9
0102757E	CF98
01027580	D058
0102758B	CF72
01027599	F2B9
0102759A	F2DD
010275AD	D059
010275AF	D05B
010275CE	DDCF
010275D7	F4AC
010275D8	DDCF
010275D9	D061
010275E1	D062
010275F3	D066
01027602	D06E
01027623	D14E
01027624	D09D
0102762D	F4C0
01027637	D07C
0102764A	D150
0102765F	D09A
01027665	D274
01027669	C1D1
0102766A	D191
01027688	D177
0102768C	D7B0
0102768D	F4C3
0102769B	D174
0102769C	F1DD
0102769D	B2C3
010276BA	D1A0
010276D6	D074
010276E0	D15C
010276E1	D249
010276E2	EDE9
01027737	D245
01027744	F1E0
01027749	EDE9
01027750	D17B
01027775	D181
0102777A	D9F3
01027796	D183
010277AB	D156
010277B2	D26E
010277B7	D19C
010277B8	D260
010277CA	D271
010277CE	D26C
010277D0	D27D
010277D2	D261
010277D4	D247
010277D9	D087
010277F6	B0D4
01027811	D291
01027828	D29A
01027877	D29D
0102789A	EAEE
010278A2	B287
010278AE	B297
010278B1	D0D4
010278C2	D36D
0102790C	D375
01027931	D371
01027955	CF60
01027966	D392
01027973	CAAB
01027976	DABF
01027977	C6FD
0102797A	D9EA
0102797D	D582
0102797E	CAB6
01027992	DAAE
01027998	D573
010279AB	DAB1
010279BD	D5EF
010279BE	BEF7
010279CF	DFF6
010279E1	CBCF
010279E7	EEBA
010279F2	D465
010279FF	BDCC
01027A0F	D2EA
01027A1B	D48B
01027A1D	D79C
01027A1E	D66C
01027A23	DAAB
01027A28	DAD7
01027A2C	D57C
01027A2D	BCE0
01027A3D	D463
01027A40	D696
01027A42	B0F9
01027A50	D592
01027A5B	D1AF
01027A60	B7ED
01027A6A	D681
01027A7B	DAC1
01027A7D	D7BB
01027A9F	D577
01027AAE	D67E
01027AB3	D64C
01027AE0	D583
01027AE7	DACF
01027AEA	DACA
01027AF8	D476
01027B03	D6A0
01027B04	D0BB
01027B0C	D650
01027B0D	DAD8
01027B13	D695
01027B21	D585
01027B2D	D5A0
01027B2F	E5C0
01027B33	D2EB
01027B58	C6D7
01027B64	D663
01027B74	D758
01027B90	D78D
01027B9B	D682
01027BA3	D565
01027BA9	D480
01027BAE	DAE4
01027BAF	D841
01027BB0	D845
01027BB7	D843
01027BCB	D842
01027BDB	89D4
01027BE0	8472
01027BE1	CDE3
01027BED	D84F
01027BFF	DCB1
01027C42	D86F
01027C4F	D85B
01027C51	D861
01027C5A	D85D
01027C5F	D863
01027C71	D864
01027C74	AA75
01027C80	D85D
01027C8F	D868
01027C90	D86D
01027CA8	D85D
01027CB2	BAFC
01027CC7	BAD1
01027CD4	D87D
01027CE0	D884
01027CED	CE7A
01027CF2	D887
01027D39	EADB
01027D44	CD56
01027D45	CD4D
01027D47	D950
01027D4E	BCD6
01027D69	D4F0
01027D6A	D4F4
01027D6E	EADC
01027D85	BBDF
01027D99	B1B3
01027D9B	EAE3
01027D9E	CE44
01027DA1	E5B5
01027DB4	B6C4
01027DB6	B7B7
01027DBB	C3B3
01027DBD	B4CD
01027DC9	D96F
01027DD5	D7CA
01027DE0	DA4B
01027DE4	D8D3
01027DFC	D999
01027E03	D2C5
01027E06	D7B8
01027E0A	B9BA
01027E11	D4F9
01027E16	D7AC
01027E18	D99C
01027E1A	C2B8
01027E2F	D2C5
01027E37	DA47
01027E3D	D2C5
01027E52	C2F2
01027E5E	F4F6
01027E79	B3E3
01027E87	F4F1
01027EAB	C6F0
01027ECE	DA68
01027EDB	DA5E
01027EEF	DA62
01027EFB	DA75
01027F62	B2AB
01027F92	DA65
01027F9F	DA8C
01027FA2	D3E3
01027FC1	EBBE
01027FC4	DB61
01027FD6	F5BC
01027FDB	D7D9
01027FF6	F5C9
01027FFA	DA6B
01028013	C5DC
0102801F	F5E2
01028040	DB53
01028048	DE86
0102807B	F5DE
010280A7	DC4A
010280AB	DA97
010280DD	DB54
010280DF	F5E7
010280E1	F5D5
01028103	F5EE
01028119	DB52
0102814C	85C5
01028162	DC40
01028175	CCA4
01028176	D4EA
0102818D	F5F1
010281AE	DB65
010281AF	F5EB
010281B2	CEC8
010281CB	DB88
010281DA	DB9D
010281E5	E5BF
010281E8	DC61
010281F1	F5E4
010281F3	F5ED
0102822C	C7FB
01028235	F5CB
0102823B	D7D4
01028246	B4E0
01028247	D4D6
01028257	DC86
01028289	B4E0
010282A0	DC8F
010282AF	DC94
010282B5	DD40
010282B6	DD50
010282BA	DD44
010282BE	E9FE
010282CF	E9F4
010282E9	DD95
010282FB	86CB
010282FC	CED3
01028302	DC9C
01028307	D6E1
01028323	DC98
0102832E	DD42
0102832F	DD68
0102834B	DD7B
0102836C	DD9F
01028373	E9F7
0102837B	E9FD
01028385	DD88
0102838A	B9F5
01028395	DE52
010283A6	DE42
010283A8	DE4D
010283A9	DD5F
010283AA	DD5B
010283B2	E9FB
010283CA	DE59
010283CF	EAA5
010283D1	E9F9
010283D4	EAA4
010283D9	DE53
010283E3	D5DE
0102840C	D0C1
0102842B	C6A9
0102844D	B9EC
01028450	C6F9
01028453	C6F0
01028454	C6F0
01028456	C6F0
0102845E	DE84
01028466	D0EC
01028477	D1B8
0102848E	E5D7
010284A6	D3AD
010284B2	C3D4
010284C6	CDCB
010284CC	D4D6
010284D8	DE9C
010284DC	D2DD
010284E7	D2A3
010284EC	DF65
010284F5	CBCD
0102851C	DE98
01028524	DF6F
0102852A	D4CB
0102855D	E5CD
01028589	E5E0
0102859D	F6AA
010285A5	D5DA
010285BD	D2C5
010285C0	DF48
010285D2	F6AA
010285D4	D2C5
010285D5	D7F1
010285DD	DF79
010285E0	F6AA
010285ED	D2C5
010285EE	D2C5
010285EF	E5DB
010285F9	B5D1
01028611	C1AC
01028624	D2C5
0102862B	E5D3
01028636	E5CE
01028637	E5E3
01028645	DF87
01028655	E5D5
0102865A	C2F5
0102867C	DBAB
01028682	DF92
0102868A	DF98
0102868F	DBA1
01028693	E08A
010286A0	BAAA
010286A8	E043
010286AC	C7F1
010286C4	D7DE
010286E6	BFA4
010286EB	C0E8
010286F7	B6BC
010286F8	E082
01028725	DBAA
01028726	E051
0102872E	C7E4
01028739	E04B
01028741	DBA8
01028765	C0C9
0102876C	E086
0102876E	DBB8
01028776	E074
01028782	E0A0
01028784	D3CA
01028785	E064
01028787	DBB0
01028789	DBB2
0102878F	B5A6
01028796	DBB9
010287A1	DBA6
010287AF	E096
010287B3	D8E6
010287B5	E08E
010287BC	E084
010287C0	C0E8
010287CC	E089
010287CE	E140
010287D5	E074
010287F4	E153
010287F7	F5AC
010287FB	BDB4
01028801	E147
01028802	F5AD
0102880F	F5AE
01028815	E16B
01028817	E16C
01028820	D0D1
0102882A	D7ED
01028845	C3D1
01028860	F5AF
01028869	E177
01028880	BDCD
0102889A	E169
010288A9	F5FC
010288AC	F5A9
010288AD	CBD6
010288BD	CBE1
010288BE	E17D
010288CB	B4D7
010288E0	E179
01028907	E167
