Source: ftp://ftp.unicode.org/Public/6.3.0/ucd/UnicodeData-6.3.0d3.txt
Source: http://www.unicode.org/Public/6.2.0/ucd/SpecialCasing.txt
01A75D	01A75C
01A75F	01A75E
01A761	01A760
01A763	01A762
01A765	01A764
01A767	01A766
01A769	01A768
01A76B	01A76A
01A76D	01A76C
01A76F	01A76E
01A77A	01A779
01A77C	01A77B
01A77F	01A77E
01A781	01A780
01A783	01A782
01A785	01A784
01A787	01A786
01A78C	01A78B
01A791	01A790
01A793	01A792
01A7A1	01A7A0
01A7A3	01A7A2
01A7A5	01A7A4
01A7A7	01A7A6
01A7A9	01A7A8
01FF41	01FF21
01FF42	01FF22
01FF43	01FF23
01FF44	01FF24
01FF45	01FF25
01FF46	01FF26
01FF47	01FF27
01FF48	01FF28
01FF49	01FF29
01FF4A	01FF2A
01FF4B	01FF2B
01FF4C	01FF2C
01FF4D	01FF2D
01FF4E	01FF2E
01FF4F	01FF2F
01FF50	01FF30
01FF51	01FF31
01FF52	01FF32
01FF53	01FF33
01FF54	01FF34
01FF55	01FF35
01FF56	01FF36
01FF57	01FF37
01FF58	01FF38
01FF59	01FF39
01FF5A	01FF3A
01010428	01010400
01010429	01010401
0101042A	01010402
0101042B	01010403
0101042C	01010404
0101042D	01010405
0101042E	01010406
0101042F	01010407
01010430	01010408
01010431	01010409
01010432	0101040A
01010433	0101040B
01010434	0101040C
01010435	0101040D
01010436	0101040E
01010437	0101040F
01010438	01010410
01010439	01010411
0101043A	01010412
0101043B	01010413
0101043C	01010414
0101043D	01010415
0101043E	01010416
0101043F	01010417
01010440	01010418
01010441	01010419
01010442	0101041A
01010443	0101041B
01010444	0101041C
01010445	0101041D
01010446	0101041E
01010447	0101041F
01010448	01010420
01010449	01010421
0101044A	01010422
0101044B	01010423
0101044C	01010424
0101044D	01010425
0101044E	01010426
0101044F	01010427
01DF	0153,0153
01FB00	0146,0146
01FB01	0146,0149
01FB02	0146,014C
01FB03	0146,0146,0149
01FB04	0146,0146,014C
01FB05	0153,0154
01FB06	0153,0154
010587	010535,010552
01FB13	010544,010546
01FB14	010544,010535
01FB15	010544,01053B
01FB16	01054E,010546
01FB17	010544,01053D
010149	0102BC,014E
010390	010399,010308,010301
0103B0	0103A5,010308,010301
0101F0	014A,01030C
011E96	0148,010331
011E97	0154,010308
011E98	0157,01030A
011E99	0159,01030A
011E9A	0141,0102BE
011F50	0103A5,010313
011F52	0103A5,010313,010300
011F54	0103A5,010313,010301
011F56	0103A5,010313,010342
011FB6	010391,010342
011FC6	010397,010342
011FD2	010399,010308,010300
011FD3	010399,010308,010301
011FD6	010399,010342
