#transposed from inter/CHT.txt
017919	01788D
019D1E	019E2E
019D1D	019E32
019D12	019E30
019D1B	019E33
019D15	019E35
0188CA	018885
019D1F	019E31
019DE5	019E36
019D49	019E3E
019D41	014D14
019D3B	019E3F
019DD9	019E37
019D2F	019E38
019D37	014D15
019D43	019E3C
019D3F	019E3D
019D30	019E39
019D42	019E3A
019D34	019E3B
019D5C	019E48
019DF3	019E47
019D53	019E41
019E1D	019E42
019D51	019E43
019D52	019E46
019D60	019E44
019D5D	019E45
019D89	019E51
019D8A	019E52
019D84	014D16
019D61	019E49
019D72	019E4A
019D93	019E4B
019D6A	019E4C
019D6C	019E4F
019D6E	019E50
019DC0	019E5A
019D98	019E55
019DA1	019E56
019DAA	014D17
019D9A	019E57
019DBB	019E58
019D96	019E59
019DA9	019E5C
019DA5	019E5B
019DB4	019E64
019DBC	019E63
019DC2	019E5E
019DBA	019E61
019DC9	014D18
019DD3	019E67
019DD6	019E65
019E1A	019E66
019DDA	019E68
019E6B	019E6B
019DEF	019E69
019DE6	019E6A
019DF8	019E6C
019DF9	019E70
019E07	019E6F
019DFA	019E6D
019E0A	014D19
019E1B	019E73
01651D	016151
017044	016EE0
01651D	016444
0156C1	0155EB
019477	01954A
019873	01989E
