#transposed from inter/CHT.txt
01984D	01989D
01984F	01989C
019854	01989C
0164F7	0164B7
01984C	019898
019852	019899
019853	01989B
017E88	017F2C
017015	016FD2
01985B	0198A0
019862	01989F
019873	01989E
019859	0198A1
0156C2	0156A3
019865	0198A2
01986B	0198A4
015DD4	015DC5
01986C	0198A5
017672	01766B
01705D	01704F
019870	0198A6
019874	0198A7
018B70	018BAE
015100	014EEA
0187FB	018681
0156C8	015453
01852D	01836B
01766E	01763E
018555	0183B8
019B5B	019C7D
016F01	016E14
019B74	019C82
019B77	019C7F
019B6F	019C81
019C5F	019C8E
01858A	0184DF
019B83	019C86
019B8D	019C8F
019B81	019C85
019C78	019C88
019EDE	019C87
019B93	019C8A
019BA3	014C9F
017A4C	017A23
019B92	019C8B
019B91	019C8D
019B90	019C90
019BD7	019C9E
019BBA	019C9D
019C6D	019C9A
019BAB	019C9B
019BAE	019C9C
019BAD	019C91
019B9A	019C92
019C58	019C9F
019BAA	019C94
019C58	019C9F
019C02	019C97
019BA6	019C96
019C60	019C99
019BCA	019CA8
015695	01565C
019C7A	019CA1
019BC1	019CA0
019C31	019CA2
019BFD	019CAB
019C23	019CA5
019BC7	019CA9
019C39	019CA3
019BC9	019CA4
019C37	019CA6
019BC0	019CA7
016AD3	016A79
016C0C	016C07
019BE8	019CB8
019BD6	019CAD
019BEA	019CAE
019BEB	019CB0
019BE4	019CB2
019BD4	019CBB
019BE7	019CB3
019BE1	019CB1
019BE2	019CB5
019BDB	019CB7
019BF0	019CB6
01861A	0185D3
019C0C	014CA1
019C06	014CA0
019C68	019CBF
019BFF	019CCA
019C08	019CBD
019C1B	019CC1
019C13	019CC3
019C10	019CC4
019465	019565
019C0D	019CC5
019C12	019CC6
019C09	019CC7
019C32	019CCC
014C77	014CA3
019C27	014CA2
019C1C	019CD2
019C2D	019CCD
019C28	019CCE
019C25	019CCF
019C1F	019CD1
01766C	017663
019C49	019CD6
019C45	019CD9
019C3C	019CDB
019C48	019CD5
019C3E	019CD4
019C33	019CD3
019C35	019CD8
019C3B	019CD7
019C54	019CDD
019C52	019CDF
019C57	019CDE
019C56	019CDC
019C63	019CE3
019C67	019CE2
015DBC	015C7F
016B5F	016B24
018553	0182B8
0166C7	016619
019749	0153C6
019746	0153C7
0164F2	0163B7
018E91	018E2F
01588A	0157AB
01646F	01631A
018D04	018D3D
019DD9	019E37
0187C4	0186F0
017E36	017D77
019455	019527
018E93	018E2C
0150B3	014F20
016476	01629F
018F49	018F6C
01819E	0143DD
0178DA	017816
0156C0	01556D
018A08	018BA1
018A02	018BA2
018A03	018BA3
018B4F	018BA5
018B70	018BAE
018A0E	018BA8
018A0C	018BA7
018A10	018BA6
018A18	018BB0
018A0A	018BAF
018A15	018BAA
018A13	018BAD
018A16	018BAB
018A2A	018BBF
018A1D	018BB6
018AF1	018BB3
018A4E	018BB5
018B33	018BB4
018A23	018BC0
018A25	018BB7
018A2D	018BBE
018AF7	018BBD
018A1B	018BB9
018A22	014723
018A31	018BB8
018AD6	018BBA
018A1F	018BBC
018A29	018BBB
018A41	018BC2
018A36	018BC3
018A55	018BC4
018A54	018BCF
018A5E	018BCD
018B6F	018BD1
018A58	018BCE
018A57	018BC7
018A5B	018BC5
018B58	018BC6
018B05	018BCC
018A46	018BCB
018A34	018BC9
018A50	018BC8
018A3A	018BCA
018A52	018BD2
018AE2	018BE8
018A72	018BE5
018A73	018BE6
018A6B	018BE7
018A86	018BD3
018A7F	018BD6
018A70	018BD8
018A7C	018BD9
018A66	018BD5
018A69	018BD7
018A61	018BE9
018ACD	018BE4
018A6E	018BE0
018A85	018BDB
018A84	018BD4
018A6C	018BDF
018A63	018BE3
018A71	018BDD
018A6D	018BE1
018A62	018BE2
018AA0	018BDA
018A95	018BDE
016EF8	016D52
018A9A	018BEE
018AAC	018BF4
018AA1	018BEB
018AA3	018BEC
018A9E	018BED
018AA6	018BF5
017F78	017F5A
018AA4	018BEF
018AA5	018BF0
018A91	018BF3
018A98	018BF1
018AA8	018BF2
018A92	018BF6
017344	0172F1
018ABC	018C0A
018AD2	018C05
018AC7	018C08
018AC4	018C06
018B85	018C09
018AB6	018C07
018ACB	018BF7
018AFE	018BFA
018AF8	018BF8
018B80	018BFB
018AD1	018BFC
018ACF	018BF9
018AB2	018BFE
018AB9	018BFD
018AC9	018BFF
018AB0	018C01
018ADB	018C00
018ABF	018C03
018AC2	018C04
018AD7	018C02
018AE6	018C1B
018AF3	018C19
018B0E	018C1C
018AFA	018C1A
018ADE	018C1D
018AEE	018C18
018AF6	018C0C
018B0A	018C0E
018B00	018C0B
018ADC	018C0D
018AE7	018C10
018AEB	018C0F
018ADD	018C1E
018B14	018C11
018B01	018C12
018AE4	018C14
018B02	018C13
018AFC	018C16
018AED	018C15
018B1A	018C25
018B17	018C24
018B19	018C26
018B10	018C27
018B28	018C1F
018B9C	018C20
018B16	018C21
018B1D	018C22
018B20	018C23
018B21	018C23
015132	0150A8
018B2B	018C2A
018B7E	018C2B
018B39	018C28
018B2C	018C2C
018B3E	018C29
018B5C	018C31
018B56	018C2E
018B5A	018C2D
018B95	018C30
018B4E	018C32
018B59	018C2F
0185F9	01853C
016AE7	0169E0
018B74	018C34
018B6B	018C35
018B9E	018C33
018FAF	018FA9
018B8C	014729
018B8E	0196E0
018B96	018C36
019744	01972D
019951	019965
0198E5	019966
019933	019967
0198E9	019968
0198EF	01996D
0198F2	01996E
0198EB	01996B
01993C	019969
0198EA	01996A
0198ED	01996C
0198FC	019972
01991E	01996F
0198FE	019970
0198FD	019971
0198F4	019974
0198FF	019973
019904	019978
019909	019977
019903	01997A
01990F	01997B
019905	01997C
019920	01997C
01990C	019975
019952	019976
018755	018680
01990E	019979
019911	01997D
019912	019981
019913	01997F
019928	019986
01991B	019984
01991C	019983
019921	019985
019936	019989
019937	019987
01994B	019988
01993F	01998A
019948	019990
019943	01998D
01993A	01998E
01993E	01998F
019949	019991
019945	019992
01994A	019993
01994C	019994
01995F	019995
016E6F	016C64
0163DA	01626C
015834	01573A
016698	0165F8
019933	019967
01716C	017080
01694A	016768
018178	0180A0
01760D	0175A1
0178AD	017800
0166A2	017545
01932B	019496
016BA4	016B87
018569	018361
0171D9	0170EB
0189F4	0189DE
017D72	014E1D
017CFE	017EA0
017E8A	017EA9
017D06	017EA1
017D02	017EA3
017D05	017EA2
017D00	017EAA
017D09	017EAB
017D07	017EA5
017EA6	017EA6
017D08	017EA8
017D1A	017EA7
017D21	017EBA
017D0B	017EB9
017DEF	017EAC
017D1C	017EAD
017D14	017EAF
017D15	017EB0
017D10	017EBD
017D0D	017EB3
017DB1	017EB2
017D17	017EB1
017D1D	017EB4
017D1B	017EB7
017DB8	017EB6
017D19	017EB8
017E31	017EB5
017D13	017EBE
017D16	017EBC
01565D	01549D
017D46	017ECA
017DAB	017EBF
017D3A	017EC0
017D32	017EC1
017D31	017EC2
017D3C	017ECB
017E79	017ECE
017D93	017ECF
017D39	017ECD
017D44	017EC4
017D30	017EC6
017D2C	014337
017D33	017EC5
017E54	017EC7
017D40	017ECC
017D42	017EC8
017E10	017EC9
017D3F	017ED0
0155B2	0154DF
017D70	017ED6
018464	01836E
018452	01836D
017D5E	017EDE
017D71	017EDF
017D68	017ED2
017E5E	017ED5
017D5D	017ED4
017D50	017ED3
017D4E	017ED7
017D66	017ED9
017E6A	017ED8
017D55	017EDD
017D76	017EDD
017D73	017EDB
017D61	017EDC
017D62	017EDA
017D81	017ED1
018493	0183BC
017D86	017EE0
017D88	017EE8
017D83	017EE1
017D79	017EE2
017D89	017EE3
017D8F	017EE5
017E27	017EE6
019DE5	019E36
017D9C	017EFC
017DBB	017EFD
017DB0	017EFE
017DA3	017EFB
017E3E	017EE9
017DBE	017EEB
017DD2	017EEA
017E8C	017EED
017DBA	017EEE
017DB4	017F00
017DA0	017EFF
017DD1	017EFF
017DBD	017EF0
017DC4	017EF2
017E69	017EF3
017DCB	017EEF
017DAC	017EF6
017DA2	017EF8
017DB3	017EF7
017DB9	017EFA
017DAD	017EF4
017DBF	017EF5
017DC7	017F01
017DE0	017F14
017DE8	017F16
017E37	017F15
017DD7	017F03
017DD9	017F02
017DEC	017F05
017DE3	017F18
017DDD	017F09
017DF9	017F07
017DF2	017F08
017DE1	017F17
017E15	017F0A
017DFC	017F0A
017DE6	017F0C
017E9C	017F06
017DE9	017F13
017DD8	017F04
017DF1	017F11
017E0B	017F12
017DDE	017F0E
018F61	018F94
017E17	017F1E
017E7D	017F24
017E1E	017F1F
017E11	017F23
017E0A	017F22
017E1B	017F1A
017E09	017F19
017E1F	017F1B
017E1D	017F1C
017E2B	017F1D
017E2D	017F21
016FF0	016F4D
017E2E	017F29
017E39	017F25
017E46	017F2A
017E35	017F26
017E93	017F28
017E45	017F2B
017E32	017F27
01860A	018574
0185F4	018574
017E55	017F2E
017E52	017F2F
017E88	017F2C
017E5A	017F2D
016ADE	016A7C
017E6E	017F30
017E6F	017F33
017E70	017F32
017E7E	017F31
017E73	017F34
018FAE	018FAB
017E98	017F35
015805	01575A
018CE2	018D24
01814E	0180BE
018C4E	017AD6
017AEA	017AD6
016173	0160AD
017DCA	017D27
0193D7	0194FF
019C39	019CA3
0152DE	0152B3
017162	018315
01584B	018314
017192	018367
0169AE	018363
016ECE	018365
017192	018366
016F87	016D9D
015D97	015D02
017469	0183B9
016488	01635E
01562E	015520
019DAF	0183BA
0187A2	018424
0171DF	018425
017E08	018426
017646	0175E8
015DB8	015D58
019412	0194F9
01802E	018022
018811	01877E
0189BD	0189C8
0189A7	0189C8
01652C	0163FD
017E9C	017F06
016B16	016984
019452	019274
018B58	018BC6
015E5F	015E1C
017E54	017EC7
0171BE	0170BD
018077	01804C
0191D3	019486
0191D4	019487
0191D5	01948C
0191D9	01948B
0191D8	019489
0191DD	019488
0191D7	01948A
0191F5	019497
0191FA	01948E
0191E3	019493
0191E7	01948F
0191F7	01948D
0191E4	019490
0191E9	019492
01935A	019496
0191F9	019495
019346	019494
019225	0194AC
019201	0194AB
019208	01949A
0191FE	01497A
019227	0194AA
019200	0194AF
019204	0194AD
019223	019499
01920D	01949D
019226	01949B
019203	019498
019215	0194AE
019214	01949E
0192FC	0194A2
019209	0194A0
0192C7	0194A1
019210	0194A4
01921E	0194A7
01920E	0194A9
016B3D	0194A6
0193A2	0194A8
01924D	0194CB
01923A	0194B0
019322	0194B1
019266	0194B2
019257	0194B3
019237	0194B4
01925E	0194BA
019262	0194B5
019238	0194B9
01926C	0194BC
019240	0194BE
01923E	0194C0
01923F	0194BF
019438	0194CE
0193FA	01497D
019234	0194C3
01925B	0194C5
019251	0194C2
019460	0194C4
01925A	0194C6
019239	0194CD
019233	0194B6
019248	0194CA
01926D	0194BD
01922E	0194CC
019255	0194B7
019230	0194C8
019249	0194C9
01927A	0194D2
0192A0	0194D1
0192AA	0194D5
0192A6	0194DF
0192A3	0194F7
0192AB	0194EF
0192A9	0194E5
01927F	0194EA
0192B1	0194DE
01929A	0194EB
0192A8	0194F5
01929C	018854
0193DF	0194F2
019278	0194F0
019283	0194F3
0192A5	0194F1
0192E9	0194D3
0192CF	0194D7
0192AC	0194D0
019276	0194CF
019403	0194D9
019280	0194F6
01943A	0194DB
019285	0194DC
0192C1	0194DD
019358	0194E1
0193A7	0194E0
019293	0194E8
019296	0194E2
019291	0194E3
0192CC	0194E4
019298	0194ED
01927B	0194EC
01931A	0194EE
0193F5	0194E7
0193A9	0194E9
0164B3	0163FF
0192C5	01950C
0192B3	019510
0192ED	019510
0192BB	019511
0192C3	019512
0192EA	0194FA
019444	0194F8
015D94	015D5A
0192DF	019513
0192E5	019503
0193C8	0194FE
0193D7	0194FF
019427	01950F
0192B7	019500
019396	019501
0192E4	019504
01934B	019505
0192BC	019509
0192B9	019508
0192D2	01950B
0192EF	019506
019412	0194F9
0192E6	019514
019312	019515
019426	01950E
0192F1	0194FD
019338	0194FC
0192E8	019507
0192F0	019502
019455	019527
019369	019518
019301	01951E
019320	01952D
01937A	019517
019340	01951D
019307	01952B
01932F	019519
019328	01951A
01931B	01951B
0192F8	01952F
019333	019530
01932E	019522
019315	01951F
01932B	019521
01947C	019523
019318	019524
019310	019525
019326	019526
019341	019528
019319	019531
019375	01952E
01934D	019540
0193A1	019543
019382	019541
0193E4	019542
019365	019532
0193D8	019535
019354	019537
019376	019536
019347	019534
019370	01953E
01936C	019539
019384	01953F
019387	019545
019428	019544
01935B	01953B
019364	019538
0193AA	01953C
0193BF	01954E
0193B5	019553
019482	01954B
01944C	019554
0193B0	019552
014947	014982
01938A	019551
0193AC	019550
019398	019549
019477	01954A
0193AE	019547
0193B3	01954D
0193B8	01954C
0193A6	01954F
0193E1	01955C
0193D1	01955D
0193DE	01955B
0193C3	01955E
0193E2	019556
0193F0	01955A
0193DC	019557
01942F	014983
0193DD	019558
019479	019569
019413	019566
019425	014985
019420	019568
01946D	019567
019465	019565
0193F7	019564
01941D	019562
019410	019563
019419	01956B
0193F9	01956A
01942E	019570
01943F	019571
019433	01956D
01944A	01956C
019436	01956E
019432	01956F
019454	019572
019463	019573
01945E	019574
019472	019576
019481	014986
015DA8	015CC3
015B78	015B66
0189BA	0189C9
01652A	016405
0156B3	0155BE
019C5F	019C8E
019ECC	019EC9
018B6F	018BD1
016FA4	016CFD
0161CC	01603F
0164C7	0162E9
015DA7	015CC4
017E79	017ECE
019A5B	019A7F
019438	0194CE
018600	01841A
0191CB	0191CA
017C5C	017BA8
0152C1	0152B2
015244	01522D
019658	019649
016D87	016CFE
018396	01830E
015F91	015F84
017D93	017ECF
0170F4	0170C3
018F15	018F7B
016C2B	016C22
01811B	0180EB
0175D9	0175C9
017FA5	017F9F
019838	019888
015DF0	015DEF
018B8A	0153D8
015F4E	015F2F
015B7F	015B6A
015DD2	015CE6
015B4C	015A08
016200	01604B
016B12	01683E
016523	01631B
019E1E	019E3E
017063	016E7E
01883B	0186EE
0181E0	018114
017064	016EE6
01947E	0192AE
01526E	015250
016E26	016DA1
01581D	0157DA
01558E	01359E
018435	0183B4
015AA7	015A32
01798D	017978
018161	018136
017AA9	017A9D
01934B	019505
018778	018717
