#data source: http://www.cns11643.gov.tw
018003	0485,041A
01800C	04010A
018012	040118
018033	040104
01807F	040128
018089	040116
01808B	040116,043A
01808C	040116,0427
0181E3	040106
0181EA	04011D
0181F3	04010C
0181FC	04011E
01820C	0443,0458
01821B	0467,0450
01821F	04011F
01826E	040129
018272	042A,04C2
01827E	0495,0425
01866B	040112
018840	0404,04DD
01884C	0460,0401,0419
01884C	0460,0410,0408
018863	040123
01897F	040107
019621	047C,045F
014E32	040136
014EA8	042E,0458,0441
014F4D	0422,04F7
014F4F	0422,0405,0481
014F4F	0422,042E,0447
014F47	0422,046B,0419
014F57	0422,046B,0415
014F5E	0422,0410,0476
014F34	0422,0431,0445
014F5B	0422,04FD
014F55	0422,0419,0458
014F30	0422,0411,0458
014F50	0422,0414,0449
014F51	0422,0414,0458
014F3D	0422,043A,0458
014F3A	0422,0409,0401,0458
014F38	0422,04DC
014F43	0422,04D9
014F54	0422,041C,0458
014F3C	0422,04D6
014F46	0422,0498,0401
014F63	0422,04F3
014F5C	0422,04EC
014F60	0422,042A,0479
014F2F	0422,04F0
014F4E	0422,04AC,0401
014F36	0422,0422,0401,043E
014F59	0422,0401,0489
014F5D	0422,042B,0458
014F48	0422,0414,045B
014F5A	0422,0404,0483
014F5A	0422,041F,044B
01514C	0423,0458,0426
01514B	0422,0458,0426
01514D	042A,04E1
015175	04EF,0423
0151B6	0430,043D,0458
0151B7	0430,0422,0401,043E
015225	0458,0429,0439
015224	0431,0446,0439
015229	04ED,0439
01522A	04E3,0439
015228	042B,046F,0439
0152AB	0447,043D,043A
0152A9	04D8,043A
0152AA	0476,043B,043A
0152AC	042B,0458,043A
015323	0416,04DB
015373	040129,0436
015375	0466,0405,0436,0405
01541D	04B3,0458
01542D	0458,042E,0427
01541E	0401,044B,0458
01543E	0490,0458
015426	048D,0458
01544E	0458,046D,0406
015427	0458,04C2
015446	0458,0489
015443	0458,0413,0436
015433	0458,040A,044B
015448	0458,0404,0447
015442	0458,0404,0458
01541B	04C5,0458
015429	0458,0423,0439
01544A	04A4,0458
015439	0458,042A,0422
01543B	0458,04B1
015438	0458,04B2
01542E	0458,043D,0426
015435	0458,0479,0404
015436	0458,049F
015420	0458,048E
01543C	0458,047A,0407
015440	0458,0494
015431	0458,0411,043B
01542B	0422,0401,040E,0458
01541F	0458,0422,0401,040E
01542C	0458,04A7
0156EA	0404,0459,0462
0156F0	0459,0489
0156E4	0459,0491
0156EB	0459,04B1
01574A	0447,042E,0429
015751	0447,042E,0427
015740	0447,0497
01574D	0447,04AD
015747	0447,042B,0410
01574E	0447,042A,0422
01573E	0447,04B2
015750	0422,0422,0447
01574F	0447,048D
01573B	0447,04A7
0158EF	04C0,0448
01593E	044B,0422,0422
01599D	04C0,0476
015992	0476,04A9
0159A8	0476,042E,0429
01599E	0476,04C1
0159A3	0476,0415,0415
015999	0476,0479,0404
015996	0476,0404,044B
01598D	0476,0401,044D
0159A4	0476,043E,040E,0408
015993	0476,0411,043B
01598A	0476,0401,0448
01598A	0476,0443,0401
0159A5	04A8,0476
015B5D	0485,047A
015B5C	047A,04A1
015B5A	04A8,047A
015B5B	0411,0433,047A
015B8C	046B,0410,0426
015B8B	046B,0489
015B8F	046B,0414,043D
015C2C	044C,0422,0420
015C40	046D,0409,0458
015C41	046D,0415,0415
015C3F	046D,04C7
015C3E	046D,04A2
015C90	045A,0411,043B
015C91	045A,0422,0401,040E
015C94	0423,0439,045A
015C8C	045A,04B2
015DEB	0422,0422,0449
015E0C	0425,0414,045B
015E8F	046A,043E,040E,0408
015E87	046A,0415,0415
015E8A	046A,0489
015EF7	0477,0404,0447
015F04	0481,044D
015F1F	0431,04BF,0404
015F64	04AD,0461
015F62	0401,044D,0461
015F77	0460,042E,0429
015F79	0460,0427,043B
015FD8	042E,040D,04B9
015FCC	046E,04B9
015FD7	0448,04B9
015FCD	0405,0439,04B9
015FF1	04B9,04B8
015FEB	04B9,04BE
015FF8	04B9,04C1
015FEA	04B9,0423,043D
016212	0493,044D
016211	040139
016284	04A0,0479,0404
016297	04A0,042E,0427
016296	04A0,0432,0411
016280	04A0,0411,043B
016276	04A0,0483
016289	04A0,04BE
01626D	04A0,04C1
01628A	04A0,04C2
01627C	04A0,0413,0436
01627E	04A0,0493
016279	04A0,0415,0415
016273	04A0,0413,043B
016292	04A0,043E,040E,0408
01626F	04A0,0497
016298	04A0,04A7
01626E	04A0,0423,0439
016295	04A0,0427,043B
016293	04A0,04A8
016291	04A0,042C,0436
016286	04A0,04B3
016539	046E,04A1
01653B	0449,04A1
016538	0422,0403,04A1
0165F1	0498,0443
0166F4	040130
01675F	040131
01674E	0489,047A
01674F	0489,0458
016750	0489,0455
016751	0489,0452
01675C	0489,0447
016756	0489,044F
01675E	0489,046E
016749	0489,0461
016746	0489,0443
016760	0489,0449
016753	0489,042B,0405
016757	042E,040D,0489
016B65	0497,0457
016BCF	041F,04C6
016C42	040134
016C5E	0449,04C7
016C99	04C7,0479,0404
016C81	04C7,04B9
016C88	04C7,04B8
016C89	04C7,0433,0426
016C85	04C7,0410,0426
016C9B	04C7,048B
016C6A	04C7,0481
016C7A	04C7,04BE
016C90	04C7,0489
016C70	04C7,044B,0405
016C8C	04C7,0491
016C68	04C7,0498
016C96	04C7,049C
016C92	04C7,0429,043B
016C7D	04C7,04A3
016C83	04C7,0404,044B
016C72	04C7,04B2
016C7E	04C7,0423,0439
016C74	04C7,042E,041C
016C86	04C7,042E,0427
016C76	04C7,04B3
016C8D	04C7,0401,047B
016C94	04C7,0486
016C98	04C7,0415,0415
016C82	04C7,04A7
017076	04B4,0447
01707C	04B4,042B,0405
01707D	0480,04B4
017078	0465,04B4
017262	046B,04A4
017261	04A4,0447
017260	04A4,0475
0172C4	048E,04B4
0172C2	048E,0481
017396	0481,0465
01752C	043E,041D,0445
01752B	04012F
017537	04D9,043A
017538	042B,04D9
017682	04F0,0418
0176EF	04D7,0419
0177E3	043D,041F,044B
0179C1	04ED,043D
0179C0	04ED,043C
0179BF	04ED,0426
017A76	046B,0423,043F
017CFB	0404,04012C
017F55	0433,0423,0443
