# Source: http://www.opensource.apple.com/source/ICU/ICU-491.11.1/icuSources/data/mappings/ibm-935_P110-1999.ucm?txt
4BD7	016566
4BD8	01987F
4BD9	0156E4
4BDA	01949D
4BDB	0176FE
4BDC	019041
4BDD	016387
4BDE	0154C6
4BDF	01591A
4BE0	01593A
4BE1	01579B
4BE2	018EB2
4BE3	016735
4BE4	018DFA
4BE5	018235
4BE6	015241
4BE7	0160F0
4BE8	015815
4BE9	0186FE
4BEA	015CE8
4BEB	019E45
4BEC	014FC4
4BED	01989D
4BEE	018BB9
4BEF	015A25
4BF0	016076
4BF1	015384
4BF2	01627C
4BF3	01904F
4BF4	019102
4BF5	01997F
4BF6	016069
4BF7	01800C
4BF8	01513F
4BF9	018033
4BFA	015C14
4BFB	019975
4BFC	016D31
4BFD	014E8C
4C	?013C
4C41	018D30
4C42	0153D1
4C43	017F5A
4C44	017B4F
4C45	014F10
4C46	014E4F
4C47	019600
4C48	016CD5
4C49	0173D0
4C4A	0185E9
4C4B	015E06
4C4C	01756A
4C4D	017FFB
4C4E	016A0A
4C4F	0177FE
4C50	019492
4C51	017E41
4C52	0151E1
4C53	0170E6
4C54	0153CD
4C55	018FD4
4C56	018303
4C57	018D29
4C58	0172AF
4C59	01996D
4C5A	016CDB
4C5B	01574A
4C5C	0182B3
4C5D	0165B9
4C5E	0180AA
4C5F	01623F
4C60	019632
4C61	0159A8
4C62	014EFF
4C63	018BBF
4C64	017EBA
4C65	01653E
4C66	0183F2
4C67	01975E
4C68	015561
4C69	0198DE
4C6A	0180A5
4C6B	01532A
4C6C	018BFD
4C6D	015420
4C6E	0180BA
4C6F	015E9F
4C70	016CB8
4C71	018D39
4C72	0182AC
4C73	01915A
4C74	015429
4C75	016C1B
4C76	015206
4C77	017EB7
4C78	01575F
4C79	01711A
4C7A	016C7E
4C7B	017C89
4C7C	01594B
4C7D	014EFD
4C7E	015FFF
4C7F	016124
4C81	017CAA
4C82	014E30
4C83	015C01
4C84	0167AB
4C85	018702
4C86	015CF0
4C87	01950B
4C88	0198CE
4C89	0175AF
4C8A	0170FD
4C8B	019022
4C8C	0151AF
4C8D	017F1D
4C8E	018BBD
4C8F	015949
4C90	0151E4
4C91	014F5B
4C92	015426
4C93	01592B
4C94	016577
4C95	0180A4
4C96	015B75
4C97	016276
4C98	0162C2
4C99	018F90
4C9A	015E45
4C9B	016C1F
4C9C	017B26
4C9D	014F0F
4C9E	014FD8
4C9F	01670D
4CA0	016D6E
4CA1	016DAA
4CA2	01798F
4CA3	0188B1
4CA4	015F17
4CA5	01752B
4CA6	01629A
4CA7	018F85
4CA8	014FEF
4CA9	0191DC
4CAA	0165A7
4CAB	01812F
4CAC	018151
4CAD	015E9C
4CAE	018150
4CAF	018D74
4CB0	01526F
4CB1	018986
4CB2	018D4B
4CB3	01590D
4CB4	015085
4CB5	014ED8
4CB6	01961C
4CB7	017236
4CB8	018179
4CB9	018D1F
4CBA	015BCC
4CBB	018BA3
4CBC	019644
4CBD	015987
4CBE	017F1A
4CBF	015490
4CC0	015676
4CC1	01560E
4CC2	018BE5
4CC3	016539
4CC4	016982
4CC5	019499
4CC6	0176D6
4CC7	016E89
4CC8	015E72
4CC9	017518
4CCA	016746
4CCB	0167D1
4CCC	017AFF
4CCD	01809D
4CCE	018D76
4CCF	01611F
4CD0	0179C6
4CD1	016562
4CD2	018D63
4CD3	015188
4CD4	01521A
4CD5	0194A2
4CD6	017F38
4CD7	01809B
4CD8	017EB2
4CD9	015C97
4CDA	016E2F
4CDB	016760
4CDC	017BD9
4CDD	01768B
4CDE	019AD8
4CDF	01818F
4CE0	017F94
4CE1	017CD5
4CE2	01641E
4CE3	019550
4CE4	017A3F
4CE5	01544A
4CE6	0154E5
4CE7	016B4C
4CE8	016401
4CE9	016208
4CEA	019E3D
4CEB	0180F3
4CEC	017599
4CED	015272
4CEE	019769
4CEF	01845B
4CF0	01683C
