845F	01F0AE
8460	01F0AF
8461	01F0B0
8462	01F0B1
8463	01F0B2
8464	01F0B3
8465	01F0B4
8466	01F0B5
8467	01F0B6
8468	01F0B7
8469	01F0B8
846A	01F0B9
846B	01F0BA
846C	01F0BB
846D	01F0BC
846E	01F0BD
846F	01F0BE
8470	01F0BF
8471	01F0C0
8472	01F0C1
8473	01F0C2
8474	01F0C3
8475	01F0C4
8476	01F0C5
8477	01F0C6
8478	01F0C7
8479	01F0C8
847A	01F0C9
847B	01F0CA
847C	01F0CB
847D	01F0CC
847E	01F0CD
84A1	01F0CE
84A2	01F0CF
84A3	01F0D0
84A4	01F0D1
84A5	01F0D2
84A6	01F0D3
84A7	01F0D4
84A8	01F0D5
84A9	01F0D6
84AA	01F0D7
84AB	01F0D8
84AC	01F0D9
84AD	01F0DA
84AE	01F0DB
84AF	01F0DC
84B0	01F0DD
84B1	01F0DE
84B2	01F0DF
84B3	01F0E0
84B4	01F0E1
84B5	01F0E2
84B6	01F0E3
84B7	01F0E4
84B8	01F0E5
84B9	01F0E6
84BA	01F0E7
84BB	01F0E8
84BC	01F0E9
84BD	01F0EA
84BE	01F0EB
84BF	01F0EC
84C0	01F0ED
84C1	01F0EE
84C2	01F0EF
84C3	01F0F0
84C4	01F0F1
84C5	01F0F2
84C6	01F0F3
84C7	01F0F4
84C8	01F0F5
84C9	01F0F6
84CA	01F0F7
84CB	01F0F8
84CC	01F0F9
84CD	01F0FA
84CE	01F0FB
84CF	01F0FC
84D0	01F0FD
84D1	01F0FE
84D2	01F0FF
84D3	01F100
84D4	01F101
84D5	01F102
84D6	01F103
84D7	01F104
84D8	01F105
84D9	01F106
84DA	01F107
84DB	01F108
84DC	01F109
84DD	01F10A
84DE	01F10B
84DF	01F10C
84E0	01F10D
84E1	01F10E
84E2	01F10F
84E3	01F110
84E4	01F111
84E5	01F112
84E6	01F113
84E7	01F114
84E8	01F115
84E9	01F116
84EA	01F117
84EB	01F118
84EC	01F119
84ED	01F11A
84EE	01F11B
84EF	01F11C
84F0	01F11D
84F1	01F11E
84F2	01F11F
84F3	01F120
84F4	01F121
84F5	01F122
84F6	01F123
84F7	01F124
84F8	01F125
84F9	01F126
84FA	01F127
84FB	01F128
84FC	01F129
84FD	01F12A
84FE	01F12B
8540	01F12C
8541	01F12D
8542	01F12E
8543	01F12F
8544	01F130
8545	01F131
8546	01F132
8547	01F133
8548	01F134
8549	01F135
854A	01F136
854B	01F137
854C	01F138
854D	01F139
854E	01F13A
854F	01F13B
8550	01F13C
8551	01F13D
8552	01F13E
8553	01F13F
8554	01F140
8555	01F141
8556	01F142
8557	01F143
8558	01F144
8559	01F145
855A	01F146
855B	01F147
855C	01F148
855D	01F149
855E	01F14A
855F	01F14B
8560	01F14C
8561	01F14D
8562	01F14E
8563	01F14F
8564	01F150
8565	01F151
8566	01F152
8567	01F153
8568	01F154
8569	01F155
856A	01F156
856B	01F157
856C	01F158
856D	01F159
856E	01F15A
856F	01F15B
8570	01F15C
8571	01F15D
8572	01F15E
8573	01F15F
8574	01F160
8575	01F161
8576	01F162
8577	01F163
8578	01F164
8579	01F165
857A	01F166
857B	01F167
857C	01F168
857D	01F169
857E	01F16A
85A1	01F16B
85A2	01F16C
85A3	01F16D
85A4	01F16E
85A5	01F16F
85A6	01F170
85A7	01F171
85A8	01F172
85A9	01F173
85AA	01F174
85AB	01F175
85AC	01F176
85AD	01F177
85AE	01F178
85AF	01F179
85B0	01F17A
85B1	01F17B
85B2	01F17C
85B3	01F17D
85B4	01F17E
85B5	01F17F
85B6	01F180
85B7	01F181
85B8	01F182
85B9	01F183
85BA	01F184
85BB	01F185
85BC	01F186
85BD	01F187
85BE	01F188
85BF	01F189
85C0	01F18A
85C1	01F18B
85C2	01F18C
85C3	01F18D
85C4	01F18E
85C5	01F18F
85C6	01F190
85C7	01F191
85C8	01F192
85C9	01F193
85CA	01F194
85CB	01F195
85CC	01F196
85CD	01F197
85CE	01F198
85CF	01F199
85D0	01F19A
85D1	01F19B
85D2	01F19C
85D3	01F19D
85D4	01F19E
85D5	01F19F
85D6	01F1A0
85D7	01F1A1
85D8	01F1A2
85D9	01F1A3
85DA	01F1A4
85DB	01F1A5
85DC	01F1A6
85DD	01F1A7
85DE	01F1A8
85DF	01F1A9
85E0	01F1AA
85E1	01F1AB
85E2	01F1AC
85E3	01F1AD
85E4	01F1AE
85E5	01F1AF
85E6	01F1B0
85E7	01F1B1
85E8	01F1B2
85E9	01F1B3
85EA	01F1B4
85EB	01F1B5
85EC	01F1B6
85ED	01F1B7
85EE	01F1B8
85EF	01F1B9
85F0	01F1BA
85F1	01F1BB
85F2	01F1BC
85F3	01F1BD
85F4	01F1BE
85F5	01F1BF
85F6	01F1C0
85F7	01F1C1
85F8	01F1C2
85F9	01F1C3
85FA	01F1C4
85FB	01F1C5
85FC	01F1C6
85FD	01F1C7
85FE	01F1C8
8640	01F1C9
8641	01F1CA
8642	01F1CB
8643	01F1CC
8644	01F1CD
8645	01F1CE
8646	01F1CF
8647	01F1D0
8648	01F1D1
8649	01F1D2
864A	01F1D3
864B	01F1D4
864C	01F1D5
864D	01F1D6
864E	01F1D7
864F	01F1D8
