Source: ftp://ftp.unicode.org/Public/9.0.0/ucd/CaseFolding.txt
012C8A	012C8B
012C8C	012C8D
012C8E	012C8F
012C90	012C91
012C92	012C93
012C94	012C95
012C96	012C97
012C98	012C99
012C9A	012C9B
012C9C	012C9D
012C9E	012C9F
012CA0	012CA1
012CA2	012CA3
012CA4	012CA5
012CA6	012CA7
012CA8	012CA9
012CAA	012CAB
012CAC	012CAD
012CAE	012CAF
012CB0	012CB1
012CB2	012CB3
012CB4	012CB5
012CB6	012CB7
012CB8	012CB9
012CBA	012CBB
012CBC	012CBD
012CBE	012CBF
012CC0	012CC1
012CC2	012CC3
012CC4	012CC5
012CC6	012CC7
012CC8	012CC9
012CCA	012CCB
012CCC	012CCD
012CCE	012CCF
012CD0	012CD1
012CD2	012CD3
012CD4	012CD5
012CD6	012CD7
012CD8	012CD9
012CDA	012CDB
012CDC	012CDD
012CDE	012CDF
012CE0	012CE1
012CE2	012CE3
012CEB	012CEC
012CED	012CEE
012CF2	012CF3
01A640	01A641
01A642	01A643
01A644	01A645
01A646	01A647
01A648	01A649
01A64A	01A64B
01A64C	01A64D
01A64E	01A64F
01A650	01A651
01A652	01A653
01A654	01A655
01A656	01A657
01A658	01A659
01A65A	01A65B
01A65C	01A65D
01A65E	01A65F
01A660	01A661
01A662	01A663
01A664	01A665
01A666	01A667
01A668	01A669
01A66A	01A66B
01A66C	01A66D
01A680	01A681
01A682	01A683
01A684	01A685
01A686	01A687
01A688	01A689
01A68A	01A68B
01A68C	01A68D
01A68E	01A68F
01A690	01A691
01A692	01A693
01A694	01A695
01A696	01A697
01A698	01A699
01A69A	01A69B
01A722	01A723
01A724	01A725
01A726	01A727
01A728	01A729
01A72A	01A72B
01A72C	01A72D
01A72E	01A72F
01A732	01A733
01A734	01A735
01A736	01A737
01A738	01A739
01A73A	01A73B
01A73C	01A73D
01A73E	01A73F
01A740	01A741
01A742	01A743
01A744	01A745
01A746	01A747
01A748	01A749
01A74A	01A74B
01A74C	01A74D
01A74E	01A74F
01A750	01A751
01A752	01A753
01A754	01A755
01A756	01A757
01A758	01A759
01A75A	01A75B
01A75C	01A75D
01A75E	01A75F
01A760	01A761
01A762	01A763
01A764	01A765
01A766	01A767
01A768	01A769
01A76A	01A76B
01A76C	01A76D
01A76E	01A76F
01A779	01A77A
01A77B	01A77C
01A77D	011D79
01A77E	01A77F
01A780	01A781
01A782	01A783
01A784	01A785
01A786	01A787
01A78B	01A78C
01A78D	010265
01A790	01A791
01A792	01A793
01A796	01A797
01A798	01A799
01A79A	01A79B
01A79C	01A79D
01A79E	01A79F
01A7A0	01A7A1
01A7A2	01A7A3
01A7A4	01A7A5
01A7A6	01A7A7
01A7A8	01A7A9
01A7AA	010266
01A7AB	01025C
01A7AC	010261
01A7AD	01026C
01A7AE	01026A
01A7B0	01029E
01A7B1	010287
01A7B2	01029D
01A7B3	01AB53
01A7B4	01A7B5
01A7B6	01A7B7
01AB70	0113A0
01AB71	0113A1
01AB72	0113A2
01AB73	0113A3
01AB74	0113A4
01AB75	0113A5
01AB76	0113A6
01AB77	0113A7
01AB78	0113A8
01AB79	0113A9
01AB7A	0113AA
01AB7B	0113AB
01AB7C	0113AC
01AB7D	0113AD
01AB7E	0113AE
01AB7F	0113AF
01AB80	0113B0
01AB81	0113B1
01AB82	0113B2
01AB83	0113B3
01AB84	0113B4
01AB85	0113B5
01AB86	0113B6
01AB87	0113B7
01AB88	0113B8
01AB89	0113B9
01AB8A	0113BA
01AB8B	0113BB
01AB8C	0113BC
01AB8D	0113BD
01AB8E	0113BE
01AB8F	0113BF
01AB90	0113C0
01AB91	0113C1
01AB92	0113C2
01AB93	0113C3
01AB94	0113C4
01AB95	0113C5
01AB96	0113C6
01AB97	0113C7
01AB98	0113C8
01AB99	0113C9
01AB9A	0113CA
01AB9B	0113CB
01AB9C	0113CC
01AB9D	0113CD
01AB9E	0113CE
01AB9F	0113CF
01ABA0	0113D0
01ABA1	0113D1
01ABA2	0113D2
01ABA3	0113D3
01ABA4	0113D4
01ABA5	0113D5
01ABA6	0113D6
01ABA7	0113D7
01ABA8	0113D8
01ABA9	0113D9
01ABAA	0113DA
01ABAB	0113DB
01ABAC	0113DC
01ABAD	0113DD
01ABAE	0113DE
01ABAF	0113DF
01ABB0	0113E0
01ABB1	0113E1
01ABB2	0113E2
01ABB3	0113E3
01ABB4	0113E4
01ABB5	0113E5
01ABB6	0113E6
01ABB7	0113E7
01ABB8	0113E8
01ABB9	0113E9
01ABBA	0113EA
01ABBB	0113EB
01ABBC	0113EC
01ABBD	0113ED
01ABBE	0113EE
01ABBF	0113EF
01FB00	0166,0166
01FB01	0166,0169
01FB02	0166,016C
01FB03	0166,0166,0169
01FB04	0166,0166,016C
01FB05	0173,0174
01FB06	0173,0174
01FB13	010574,010576
01FB14	010574,010565
01FB15	010574,01056B
01FB16	01057E,010576
01FB17	010574,01056D
01FF21	01FF41
01FF22	01FF42
01FF23	01FF43
01FF24	01FF44
01FF25	01FF45
01FF26	01FF46
01FF27	01FF47
01FF28	01FF48
01FF29	01FF49
01FF2A	01FF4A
01FF2B	01FF4B
01FF2C	01FF4C
01FF2D	01FF4D
01FF2E	01FF4E
01FF2F	01FF4F
01FF30	01FF50
01FF31	01FF51
01FF32	01FF52
01FF33	01FF53
01FF34	01FF54
01FF35	01FF55
01FF36	01FF56
01FF37	01FF57
01FF38	01FF58
01FF39	01FF59
01FF3A	01FF5A
01010400	01010428
01010401	01010429
01010402	0101042A
01010403	0101042B
01010404	0101042C
01010405	0101042D
01010406	0101042E
01010407	0101042F
01010408	01010430
01010409	01010431
0101040A	01010432
0101040B	01010433
0101040C	01010434
0101040D	01010435
0101040E	01010436
0101040F	01010437
01010410	01010438
01010411	01010439
01010412	0101043A
01010413	0101043B
01010414	0101043C
01010415	0101043D
01010416	0101043E
01010417	0101043F
01010418	01010440
01010419	01010441
0101041A	01010442
0101041B	01010443
0101041C	01010444
0101041D	01010445
0101041E	01010446
0101041F	01010447
01010420	01010448
01010421	01010449
01010422	0101044A
01010423	0101044B
01010424	0101044C
01010425	0101044D
01010426	0101044E
01010427	0101044F
010104B0	010104D8
010104B1	010104D9
010104B2	010104DA
010104B3	010104DB
010104B4	010104DC
010104B5	010104DD
010104B6	010104DE
010104B7	010104DF
010104B8	010104E0
010104B9	010104E1
010104BA	010104E2
010104BB	010104E3
010104BC	010104E4
010104BD	010104E5
010104BE	010104E6
010104BF	010104E7
010104C0	010104E8
010104C1	010104E9
010104C2	010104EA
010104C3	010104EB
010104C4	010104EC
010104C5	010104ED
010104C6	010104EE
010104C7	010104EF
010104C8	010104F0
010104C9	010104F1
010104CA	010104F2
010104CB	010104F3
010104CC	010104F4
010104CD	010104F5
010104CE	010104F6
010104CF	010104F7
010104D0	010104F8
010104D1	010104F9
010104D2	010104FA
010104D3	010104FB
01010C80	01010CC0
01010C81	01010CC1
01010C82	01010CC2
01010C83	01010CC3
01010C84	01010CC4
01010C85	01010CC5
01010C86	01010CC6
01010C87	01010CC7
01010C88	01010CC8
01010C89	01010CC9
01010C8A	01010CCA
01010C8B	01010CCB
01010C8C	01010CCC
01010C8D	01010CCD
01010C8E	01010CCE
01010C8F	01010CCF
01010C90	01010CD0
01010C91	01010CD1
01010C92	01010CD2
01010C93	01010CD3
01010C94	01010CD4
01010C95	01010CD5
01010C96	01010CD6
01010C97	01010CD7
01010C98	01010CD8
01010C99	01010CD9
01010C9A	01010CDA
01010C9B	01010CDB
01010C9C	01010CDC
01010C9D	01010CDD
