Source: ftp://ftp.unicode.org/Public/7.0.0/ucd/UnicodeData.txt
0103A9,010300	011FFA
0103A9,010345	011FFC
012190,010338	01219A
012192,010338	01219B
012194,010338	0121AE
0121D0,010338	0121CD
0121D4,010338	0121CE
0121D2,010338	0121CF
012203,010338	012204
012208,010338	012209
01220B,010338	01220C
012223,010338	012224
012225,010338	012226
01223C,010338	012241
012243,010338	012244
012245,010338	012247
012248,010338	012249
013D,010338	012260
012261,010338	012262
01224D,010338	01226D
013C,010338	01226E
013E,010338	01226F
012264,010338	012270
012265,010338	012271
012272,010338	012274
012273,010338	012275
012276,010338	012278
012277,010338	012279
01227A,010338	012280
01227B,010338	012281
012282,010338	012284
012283,010338	012285
012286,010338	012288
012287,010338	012289
0122A2,010338	0122AC
0122A8,010338	0122AD
0122A9,010338	0122AE
0122AB,010338	0122AF
01227C,010338	0122E0
01227D,010338	0122E1
012291,010338	0122E2
012292,010338	0122E3
0122B2,010338	0122EA
0122B3,010338	0122EB
0122B4,010338	0122EC
0122B5,010338	0122ED
01304B,013099	01304C
01304D,013099	01304E
01304F,013099	013050
013051,013099	013052
013053,013099	013054
013055,013099	013056
013057,013099	013058
013059,013099	01305A
01305B,013099	01305C
01305D,013099	01305E
01305F,013099	013060
013061,013099	013062
013064,013099	013065
013066,013099	013067
013068,013099	013069
01306F,013099	013070
01306F,01309A	013071
013072,013099	013073
013072,01309A	013074
013075,013099	013076
013075,01309A	013077
013078,013099	013079
013078,01309A	01307A
01307B,013099	01307C
01307B,01309A	01307D
013046,013099	013094
01309D,013099	01309E
0130AB,013099	0130AC
0130AD,013099	0130AE
0130AF,013099	0130B0
0130B1,013099	0130B2
0130B3,013099	0130B4
0130B5,013099	0130B6
0130B7,013099	0130B8
0130B9,013099	0130BA
0130BB,013099	0130BC
0130BD,013099	0130BE
0130BF,013099	0130C0
0130C1,013099	0130C2
0130C4,013099	0130C5
0130C6,013099	0130C7
0130C8,013099	0130C9
0130CF,013099	0130D0
0130CF,01309A	0130D1
0130D2,013099	0130D3
0130D2,01309A	0130D4
0130D5,013099	0130D6
0130D5,01309A	0130D7
0130D8,013099	0130D9
0130D8,01309A	0130DA
0130DB,013099	0130DC
0130DB,01309A	0130DD
0130A6,013099	0130F4
0130EF,013099	0130F7
0130F0,013099	0130F8
0130F1,013099	0130F9
0130F2,013099	0130FA
0130FD,013099	0130FE
01011099,010110BA	0101109A
0101109B,010110BA	0101109C
010110A5,010110BA	010110AB
01011131,01011127	0101112E
01011132,01011127	0101112F
01011347,0101133E	0101134B
01011347,01011357	0101134C
010114B9,010114BA	010114BB
010114B9,010114B0	010114BC
010114B9,010114BD	010114BE
010115B8,010115AF	010115BA
010115B9,010115AF	010115BB
