Source: ftp://ftp.unicode.org/Public/13.0.0/ucd/UnicodeData.txt
011EEE	0155,01031B,010303
011EEF	0175,01031B,010303
011EF0	0155,01031B,010323
011EF1	0175,01031B,010323
011EF2	0159,010300
011EF3	0179,010300
011EF4	0159,010323
011EF5	0179,010323
011EF6	0159,010309
011EF7	0179,010309
011EF8	0159,010303
011EF9	0179,010303
011F00	0103B1,010313
011F01	0103B1,010314
011F02	0103B1,010313,010300
011F03	0103B1,010314,010300
011F04	0103B1,010313,010301
011F05	0103B1,010314,010301
011F06	0103B1,010313,010342
011F07	0103B1,010314,010342
011F08	010391,010313
011F09	010391,010314
011F0A	010391,010313,010300
011F0B	010391,010314,010300
011F0C	010391,010313,010301
011F0D	010391,010314,010301
011F0E	010391,010313,010342
011F0F	010391,010314,010342
011F10	0103B5,010313
011F11	0103B5,010314
011F12	0103B5,010313,010300
011F13	0103B5,010314,010300
011F14	0103B5,010313,010301
011F15	0103B5,010314,010301
011F18	010395,010313
011F19	010395,010314
011F1A	010395,010313,010300
011F1B	010395,010314,010300
011F1C	010395,010313,010301
011F1D	010395,010314,010301
011F20	0103B7,010313
011F21	0103B7,010314
011F22	0103B7,010313,010300
011F23	0103B7,010314,010300
011F24	0103B7,010313,010301
011F25	0103B7,010314,010301
011F26	0103B7,010313,010342
011F27	0103B7,010314,010342
011F28	010397,010313
011F29	010397,010314
011F2A	010397,010313,010300
011F2B	010397,010314,010300
011F2C	010397,010313,010301
011F2D	010397,010314,010301
011F2E	010397,010313,010342
011F2F	010397,010314,010342
011F30	0103B9,010313
011F31	0103B9,010314
011F32	0103B9,010313,010300
011F33	0103B9,010314,010300
011F34	0103B9,010313,010301
011F35	0103B9,010314,010301
011F36	0103B9,010313,010342
011F37	0103B9,010314,010342
011F38	010399,010313
011F39	010399,010314
011F3A	010399,010313,010300
011F3B	010399,010314,010300
011F3C	010399,010313,010301
011F3D	010399,010314,010301
011F3E	010399,010313,010342
011F3F	010399,010314,010342
011F40	0103BF,010313
011F41	0103BF,010314
011F42	0103BF,010313,010300
011F43	0103BF,010314,010300
011F44	0103BF,010313,010301
011F45	0103BF,010314,010301
011F48	01039F,010313
011F49	01039F,010314
011F4A	01039F,010313,010300
011F4B	01039F,010314,010300
011F4C	01039F,010313,010301
011F4D	01039F,010314,010301
011F50	0103C5,010313
011F51	0103C5,010314
011F52	0103C5,010313,010300
011F53	0103C5,010314,010300
011F54	0103C5,010313,010301
011F55	0103C5,010314,010301
011F56	0103C5,010313,010342
011F57	0103C5,010314,010342
011F59	0103A5,010314
011F5B	0103A5,010314,010300
011F5D	0103A5,010314,010301
011F5F	0103A5,010314,010342
011F60	0103C9,010313
011F61	0103C9,010314
011F62	0103C9,010313,010300
011F63	0103C9,010314,010300
011F64	0103C9,010313,010301
011F65	0103C9,010314,010301
011F66	0103C9,010313,010342
011F67	0103C9,010314,010342
011F68	0103A9,010313
011F69	0103A9,010314
011F6A	0103A9,010313,010300
011F6B	0103A9,010314,010300
011F6C	0103A9,010313,010301
011F6D	0103A9,010314,010301
011F6E	0103A9,010313,010342
011F6F	0103A9,010314,010342
011F70	0103B1,010300
011F71	0103B1,010301
011F72	0103B5,010300
011F73	0103B5,010301
011F74	0103B7,010300
011F75	0103B7,010301
011F76	0103B9,010300
011F77	0103B9,010301
011F78	0103BF,010300
011F79	0103BF,010301
011F7A	0103C5,010300
011F7B	0103C5,010301
011F7C	0103C9,010300
011F7D	0103C9,010301
011F80	0103B1,010313,010345
011F81	0103B1,010314,010345
011F82	0103B1,010313,010300,010345
011F83	0103B1,010314,010300,010345
011F84	0103B1,010313,010301,010345
011F85	0103B1,010314,010301,010345
011F86	0103B1,010313,010342,010345
011F87	0103B1,010314,010342,010345
011F88	010391,010313,010345
011F89	010391,010314,010345
011F8A	010391,010313,010300,010345
011F8B	010391,010314,010300,010345
011F8C	010391,010313,010301,010345
011F8D	010391,010314,010301,010345
011F8E	010391,010313,010342,010345
011F8F	010391,010314,010342,010345
011F90	0103B7,010313,010345
011F91	0103B7,010314,010345
011F92	0103B7,010313,010300,010345
011F93	0103B7,010314,010300,010345
011F94	0103B7,010313,010301,010345
011F95	0103B7,010314,010301,010345
011F96	0103B7,010313,010342,010345
011F97	0103B7,010314,010342,010345
011F98	010397,010313,010345
011F99	010397,010314,010345
011F9A	010397,010313,010300,010345
011F9B	010397,010314,010300,010345
011F9C	010397,010313,010301,010345
011F9D	010397,010314,010301,010345
011F9E	010397,010313,010342,010345
011F9F	010397,010314,010342,010345
011FA0	0103C9,010313,010345
011FA1	0103C9,010314,010345
011FA2	0103C9,010313,010300,010345
011FA3	0103C9,010314,010300,010345
011FA4	0103C9,010313,010301,010345
011FA5	0103C9,010314,010301,010345
011FA6	0103C9,010313,010342,010345
011FA7	0103C9,010314,010342,010345
011FA8	0103A9,010313,010345
011FA9	0103A9,010314,010345
011FAA	0103A9,010313,010300,010345
011FAB	0103A9,010314,010300,010345
011FAC	0103A9,010313,010301,010345
011FAD	0103A9,010314,010301,010345
011FAE	0103A9,010313,010342,010345
011FAF	0103A9,010314,010342,010345
011FB0	0103B1,010306
011FB1	0103B1,010304
011FB2	0103B1,010300,010345
011FB3	0103B1,010345
011FB4	0103B1,010301,010345
011FB6	0103B1,010342
011FB7	0103B1,010342,010345
011FB8	010391,010306
011FB9	010391,010304
011FBA	010391,010300
011FBB	010391,010301
011FBC	010391,010345
011FBE	0103B9
011FC1	01A8,010342
011FC2	0103B7,010300,010345
011FC3	0103B7,010345
